email,password,account_type
ethan.brown@virginia.edu,password,coach
gavin.lewis@virginia.edu,password,coach
connor.burns@virginia.edu,password,coach
jason.wallace@stanford.edu,password,coach
thomas.brown@stanford.edu,password,coach
landon.robinson@stanford.edu,password,coach
richard.meyer@texas.edu,password,coach
willow.singh@texas.edu,password,coach
zoe.wallace@texas.edu,password,coach
john.snyder@michigan.edu,password,coach
victoria.baker@michigan.edu,password,coach
caleb.ramirez@michigan.edu,password,coach
connor.lopez@indiana.edu,password,coach
nathan.rivera@indiana.edu,password,coach
max.garcia@indiana.edu,password,coach
aurora.thomas@usc.edu,password,coach
kevin.hoffman@usc.edu,password,coach
grace.hamilton@usc.edu,password,coach
ryan.garcia@florida.edu,password,coach
riley.hernandez@florida.edu,password,coach
aaron.carter@florida.edu,password,coach
leah.burke@ncstate.edu,password,coach
dylan.mitchell@ncstate.edu,password,coach
colton.hicks@ncstate.edu,password,coach
tyler.henderson@duke.edu,password,coach
violet.jordan@duke.edu,password,coach
dylan.murphy@duke.edu,password,coach
camden.burke@ohiostate.edu,password,coach
jaxon.warren@ohiostate.edu,password,coach
mark.robinson@ohiostate.edu,password,coach
samantha.kim@pennstate.edu,password,coach
steven.ramirez@pennstate.edu,password,coach
samantha.ramirez@pennstate.edu,password,coach
brooke.steele@arizona.edu,password,coach
jackson.king@arizona.edu,password,coach
parker.dixon@arizona.edu,password,coach
aurora.king@lsu.edu,password,coach
julia.graham@lsu.edu,password,coach
grace.lewis@lsu.edu,password,coach
aria.ross@georgia.edu,password,coach
matthew.anderson@georgia.edu,password,coach
isaac.duncan@georgia.edu,password,coach
steven.roberts@tennessee.edu,password,coach
caroline.price@tennessee.edu,password,coach
paisley.johnson@tennessee.edu,password,coach
aurora.vasquez@auburn.edu,password,coach
sophia.anderson@auburn.edu,password,coach
anna.lee@auburn.edu,password,coach
james.webb@minnesota.edu,password,coach
scarlett.snyder@minnesota.edu,password,coach
aubrey.wilson@minnesota.edu,password,coach
aubrey.henderson@northwestern.edu,password,coach
caleb.mitchell@northwestern.edu,password,coach
skylar.palmer@northwestern.edu,password,coach
james.olson@cal.edu,password,coach
harper.williams@cal.edu,password,coach
grace.flores@cal.edu,password,coach
mark.walker@miami.edu,password,coach
kevin.hernandez@miami.edu,password,coach
ryan.snyder@miami.edu,password,coach
logan.taylor@purdue.edu,password,coach
camila.perez@purdue.edu,password,coach
hazel.henderson@purdue.edu,password,coach
brayden.wood@kentucky.edu,password,coach
hannah.kim@kentucky.edu,password,coach
katherine.kelly@kentucky.edu,password,coach
liam.young@alabama.edu,password,coach
steven.baker@alabama.edu,password,coach
paisley.robinson@alabama.edu,password,coach
jaxon.smith@southcarolina.edu,password,coach
andrew.robinson@southcarolina.edu,password,coach
thomas.nelson@southcarolina.edu,password,coach
penelope.walker@texasa&m.edu,password,coach
nicole.ramirez@texasa&m.edu,password,coach
alexander.webb@texasa&m.edu,password,coach
quinn.sullivan@missouri.edu,password,coach
madeline.park@missouri.edu,password,coach
nathan.gonzalez@missouri.edu,password,coach
mia.patel@iowa.edu,password,coach
caroline.jordan@iowa.edu,password,coach
aaron.davis@iowa.edu,password,coach
emma.wilson@wisconsin.edu,password,coach
garrett.harris@wisconsin.edu,password,coach
zoe.moore@wisconsin.edu,password,coach
kyle.scott@michiganstate.edu,password,coach
parker.martinez@michiganstate.edu,password,coach
camila.gonzalez@michiganstate.edu,password,coach
skylar.johnson@nebraska.edu,password,coach
austin.perez@nebraska.edu,password,coach
nicole.reed@nebraska.edu,password,coach
morgan.davis@pittsburgh.edu,password,coach
hailey.smith@pittsburgh.edu,password,coach
max.knight@pittsburgh.edu,password,coach
tanner.patel@virginiatech.edu,password,coach
nicole.martin@virginiatech.edu,password,coach
emily.ramirez@virginiatech.edu,password,coach
brynn.owens@unc.edu,password,coach
andrew.dixon@unc.edu,password,coach
mark.miller@unc.edu,password,coach
faith.morgan@georgiatech.edu,password,coach
isaac.davis@georgiatech.edu,password,coach
kevin.white@georgiatech.edu,password,coach
ryan.burns@arkansas.edu,password,coach
taylor.thomas@arkansas.edu,password,coach
parker.graham@arkansas.edu,password,coach
charles.rose@arizonastate.edu,password,coach
megan.pearson@arizonastate.edu,password,coach
kennedy.kelly@arizonastate.edu,password,coach
tristan.clark@notredame.edu,password,coach
blake.king@notredame.edu,password,coach
alexander.hicks@notredame.edu,password,coach
sydney.green@clemson.edu,password,coach
robert.brooks@clemson.edu,password,coach
kennedy.gonzalez@clemson.edu,password,coach
aurora.ramirez@rutgers.edu,password,coach
max.taylor@rutgers.edu,password,coach
ryan.young@rutgers.edu,password,coach
nolan.lee@illinois.edu,password,coach
willow.elliott@illinois.edu,password,coach
hazel.johnson@illinois.edu,password,coach
luke.pearson.121@virginia.edu,password,athlete
kai.martin.122@virginia.edu,password,athlete
alexander.morgan.123@virginia.edu,password,athlete
samuel.garcia.124@virginia.edu,password,athlete
jaxon.hoffman.125@virginia.edu,password,athlete
brandon.wood.126@virginia.edu,password,athlete
steven.garcia.127@virginia.edu,password,athlete
mason.hicks.128@virginia.edu,password,athlete
liam.lee.129@virginia.edu,password,athlete
carter.knight.130@virginia.edu,password,athlete
anthony.carter.131@virginia.edu,password,athlete
grayson.hall.132@virginia.edu,password,athlete
stella.nelson.133@virginia.edu,password,athlete
camila.kim.134@virginia.edu,password,athlete
hailey.graham.135@virginia.edu,password,athlete
mackenzie.zhang.136@virginia.edu,password,athlete
megan.garcia.137@virginia.edu,password,athlete
sydney.rose.138@virginia.edu,password,athlete
zoe.hicks.139@virginia.edu,password,athlete
riley.singh.140@virginia.edu,password,athlete
kinsley.smith.141@virginia.edu,password,athlete
leah.murphy.142@virginia.edu,password,athlete
claire.pearson.143@virginia.edu,password,athlete
lauren.burns.144@virginia.edu,password,athlete
austin.fox.145@stanford.edu,password,athlete
garrett.ross.146@stanford.edu,password,athlete
anthony.palmer.147@stanford.edu,password,athlete
dominic.miller.148@stanford.edu,password,athlete
max.meyer.149@stanford.edu,password,athlete
aiden.patel.150@stanford.edu,password,athlete
alexander.vasquez.151@stanford.edu,password,athlete
liam.scott.152@stanford.edu,password,athlete
camden.hernandez.153@stanford.edu,password,athlete
jake.rodriguez.154@stanford.edu,password,athlete
connor.singh.155@stanford.edu,password,athlete
